X,S,F,SM,FM,B
0.001,6.652333,30.720001,19872.0,835.0,44
0.0050000004,2.5383337,136.42833,5932.0,835.0,22
0.025000002,2.2756665,650.0186,15176.0,835.0,20
0.12500001,1.9299998,3431.8918,6352.0,835.0,18
