X,S,F,SM,FM,B
0.001,6.421334,36.37833,37820.0,835.0,44
0.0050000004,2.548,183.297,12772.0,835.0,22
0.025000002,2.1623333,862.2266,15844.0,835.0,20
0.12500001,1.89,4206.531,6164.0,835.0,18
