K,TopInc_time,TopInc_mem,Baseline_time,Baseline
10,22670.932,1943,0.791,0,
50,23594.43,1943,164963.9,20421,
100,21862.09,1943,160655.89,20421,
200,22864.21,1943,167237.78,20421,
300,22793.365,2055,159247.47,20421,
