K,TopInc_time,TopInc_mem,Baseline_time,Baseline
10,174.288,8698,54.316,0,
50,102.138,6033,18770.701,8946,
100,101.216,6033,18487.078,8946,
150,109.021,6033,18747.795,8946,
200,104.134,6033,19487.305,8946,
250,104.212,6033,19014.783,8946,
300,105.075,6033,19036.455,8946,
