K,TopInc_time,TopInc_mem,Baseline_time,Baseline
0,863.525,1127,53.197,0,
1,1348.651,1127,12126.105,54322,
2,3347.5461,1937,12641.519,54322,
3,23419.6,2519,12616.589,54322,
4,66403.24,2913,13266.627,54322,
5,113798.41,2929,14077.577,54322,
