kvalue,semi_time,semi_memory,full_time,full_memory
1,0.40500003,40.0,0,0
11,21.209,26123.0,0,0
21,37.915,28212.0,0,0
31,70.795006,28212.0,0,0
41,67.035995,28212.0,0,0
51,61.917004,29522.0,0,0
61,46.972,29522.0,0,0
71,42.704002,29522.0,0,0
81,10.59,3447.0,0,0
91,10.216999,3553.0,0,0
101,10.103,3733.0,0,0
