kvalue,semi_time,semi_memory,full_time,full_memory
10,88.54,81792.0,345419.72,0
20,89.728,84128.0,379642.28,0
30,100.915,85264.0,404920.62,0
40,94.917,81776.0,395534.22,0
50,90.069,80688.0,378272.06,0
60,89.917,83336.0,385267.4,0
70,88.707,82704.0,378562.12,0
80,87.877,82728.0,416155.44,0
90,92.317,85512.0,437235.7,0
100,98.77,87848.0,403617.6,0
