kvalue,semi_time,semi_memory,full_time,full_memory
0,0.0,0.0,0.644,0
10,539.87,168336.0,360508.44,0
20,94.591,74932.0,365096.94,0
30,94.053,75052.0,355930.25,0
40,89.351,76524.0,364678.3,0
50,87.517,73628.0,362805.44,0
60,91.481,76208.0,373385.3,0
70,99.748,80004.0,372895.3,0
80,90.407,79472.0,366652.16,0
90,92.468,77176.0,362398.94,0
100,96.819,74924.0,364823.72,0
