kvalue,semi_time,semi_memory,full_time,full_memory
0,0.119,43408.0,49.696,0
10,1212.071,92676.0,11557.878,0
20,1984.524,22108.0,12139.613,0
30,2550.33,18612.0,11999.391,0
40,3387.9631,19848.0,12193.679,0
50,4406.995,20356.0,11820.328,0
60,5616.6626,19940.0,11782.484,0
70,7016.003,18832.0,12205.732,0
80,7351.3545,18412.0,11871.025,0
90,7673.6846,20640.0,12555.15,0
100,27858.014,19956.0,12626.456,0
