X,S,F,SM,FM,B
100000,32.19,8937.577,9952.0,34480.0,17
200000,104.922,17779.555,7488.0,68231.0,17
400000,349.28098,36967.816,7804.0,135766.0,17
600000,793.87006,55596.727,9792.0,219144.0,17
