X,S,F,SM,FM,B
100000,53.862,3719.878,87380.0,34480.0,11
200000,176.09201,6694.675,9140.0,68231.0,11
400000,670.58203,13543.966,9716.0,135766.0,11
600000,1658.455,19885.162,10316.0,219144.0,11
