X,S,F,SM,FM,B
100000,56.732998,6178.912,7324.0,34480.0,11
200000,184.461,11943.111,10556.0,68231.0,11
400000,674.75604,24309.422,9368.0,135766.0,11
600000,1453.109,36419.523,6908.0,219144.0,11
