X,S,F,SM,FM,B
100000,22.713,6470.64,10280.0,34480.0,14
200000,66.879,12422.275,8260.0,68231.0,14
400000,231.15799,25584.193,6768.0,135766.0,14
600000,481.12296,36640.688,6124.0,219144.0,14
