X,S,F,SM,FM,B
100000,185.66301,3360.656,15384.0,26378.0,91
200000,1197.4529,6777.793,13700.0,68231.0,91
400000,4130.226,14045.956,11848.0,135766.0,91
600000,8893.322,21011.611,16096.0,217874.0,91
