X,S,F,SM,FM,B
100000,67.118996,8860.527,12128.0,34480.0,13
200000,237.74799,17971.486,6928.0,68231.0,13
400000,871.551,34706.754,8828.0,135766.0,13
600000,1970.7949,53035.785,8444.0,219144.0,13
