X,S,F,SM,FM,B
100000,2.95,4423.423,134136.0,835.0,16
200000,2.7719998,8394.535,21040.0,835.0,16
400000,0.662,16798.994,7540.0,835.0,6
600000,0.711,24817.41,8780.0,835.0,6
