X,S,F,SM,FM,B
100000,2.4779997,7731.518,12352.0,835.0,16
200000,2.7940001,16107.356,11968.0,835.0,16
400000,0.768,31902.676,12200.0,835.0,6
600000,0.709,46367.12,20424.0,835.0,6
