X,S,F,SM,FM,B
100000,2.589,11747.901,44976.0,835.0,16
200000,2.59,23788.145,11444.0,835.0,16
400000,0.564,46070.523,7248.0,835.0,6
600000,0.685,67399.58,20632.0,835.0,6
