X,S,F,SM,FM,B
100000,2.828,7597.268,19316.0,835.0,18
200000,2.307,14628.524,8876.0,835.0,18
400000,2.435,31197.219,21808.0,835.0,17
600000,2.124,43870.055,24768.0,835.0,17
