X,S,F,SM,FM,B
100000,2.27,10901.298,23212.0,835.0,18
200000,2.2029998,22121.031,12528.0,835.0,18
400000,2.2870002,44668.67,18428.0,835.0,17
600000,2.585,71402.53,21384.0,835.0,17
