kvalue,semi_time,semi_memory,full_time,full_memory
0,0.064,0.0,43.473,0
10,38.923,1800.0,16409.668,0
20,46.7,1800.0,16093.988,0
30,82.778,1800.0,16043.469,0
40,31.325,896.0,16638.035,0
50,32.173,896.0,16620.936,0
60,32.863,1808.0,16961.271,0
70,48.987,896.0,16047.276,0
80,33.357,2712.0,16534.91,0
90,33.55,896.0,16028.675,0
100,36.439,2712.0,15798.322,0
