X,S,F,SM,FM,B
100000,1.8059999,9020.025,48.0,835.0,16
200000,2.009,17826.553,48.0,835.0,16
400000,0.54,37254.36,32.0,835.0,6
600000,0.6380001,53376.348,32.0,835.0,6
