X,S,F,SM,FM,B
100000,1.9790001,5900.293,48.0,835.0,16
200000,1.8390002,11952.386,48.0,835.0,16
400000,0.477,24194.031,32.0,835.0,6
600000,0.519,36126.004,32.0,835.0,6
