X,S,F,SM,FM,B
100000,1.881,5875.721,48.0,835.0,18
200000,2.1090002,12503.848,48.0,835.0,18
400000,1.635,25260.268,48.0,835.0,17
600000,1.8260001,38229.54,48.0,835.0,17
