X,S,F,SM,FM,B
100000,1.872,8881.714,48.0,835.0,18
200000,2.043,18512.547,48.0,835.0,18
400000,1.7089998,38720.22,48.0,835.0,17
600000,1.862,54408.246,48.0,835.0,17
