kvalue,semi_time,semi_memory,full_time,full_memory
0,0.0,0.0,0.704,0
10,603.944,85824.0,355451.06,0
20,103.93,87664.0,369297.53,0
30,97.362,85696.0,377980.44,0
40,96.868,83576.0,413214.0,0
50,88.681,81648.0,397726.1,0
60,92.443,84768.0,408414.78,0
70,87.65,81720.0,389253.53,0
80,90.157,85488.0,391031.0,0
90,91.955,84584.0,406043.94,0
100,94.13,86432.0,395313.5,0
