kvalue,semi_time,semi_memory,full_time,full_memory
0,0.115,0.0,50.64,0
10,1530.8059,2067520.0,11798.112,0
20,1925.8479,3392944.0,12271.438,0
30,2397.4011,4557088.0,12026.994,0
40,3503.294,6164592.0,12082.189,0
50,4435.22,7106416.0,12142.349,0
60,5526.936,8365424.0,12005.701,0
70,6848.7256,9753528.0,11786.203,0
80,7108.5015,1.04318E7,12384.722,0
90,7379.0767,1.0926288E7,11992.167,0
100,24932.049,1.2392248E7,11733.506,0
