X,S,F,SM,FM,B
100000,25.199993,3257.578,72.0,835.0,101
200000,23.828,6454.411,72.0,835.0,101
400000,1.94,12401.93,56.0,835.0,18
600000,1.747,18922.832,56.0,835.0,16
